ID,Problem,Answer
10,মাজেদের হাতে দুইটি জাদুর পাথর আছে। এদেরকে একবার ঘষা দিলে প্রত্যেকটি পাথর থেকে একটি করে পাথর বের হয়। পাথর সংখ্যা 100 হওয়ার জন্য কতবার পাথর ঘষতে হয়েছিল?,49
11,$1^3 +2^3 +3^3+\dots +n^3$ যদি $n + 3$ দ্বারা নিঃশেষে বিভাজ্য হয়। $n$ এর সর্বোচ্চ মান নির্ণয় করো।,15
12,"2023 সালের নভেম্বরের 21 তারিখ মঙ্গলবার হলে, 2024 সালের ফেব্রুয়ারি মাসের প্রথম মঙ্গলবার কত তারিখ?",6
13,"$f(x,y) = y - x^2$; $|x| + |y| \leq 21$
ফাংশনটির সর্বোচ্চ ও সর্বনিম্ন মানের পার্থক্য নির্ণয় করো। ($x$ এবং $y$ উভয়ই পূর্ণসংখ্যা)",462
14,"নিলয়, তাহমিদ ও জ্যোতি প্রত্যেকে যথাক্রমে লাল, নীল ও হলুদ রঙের একটি করে ছক্কা নিলো। তারা প্রত্যেকে ছক্কাগুলোর চাল দিলে, কতভাবে ছক্কা তিনটিতে আসা সংখ্যাগুলোর যোগফল 11 হতে পারে?",27
15,$y= 10^{2024} - x$ যেখানে $x$ একটি মৌলিক সংখ্যা। $x$ এর ক্ষুদ্রতম কোন মানের জন্য $y$ সংখ্যাটি 9 দ্বারা নিঃশেষে বিভাজ্য হবে?,19
16,"ত্রিভুজ সংখ্যা বলতে ঐসব সংখ্যাগুলোকে বোঝায় যেগুলোর সমান সংখ্যক বল নিয়ে ত্রিভুজাকৃতি বানানো যায়। যেমন: 1 টি বলের নিচে 2 টি বল রাখলে সেটি ত্রিভুজাকৃতি হবে। তার নিচে আরো 3 টি বল রাখলেও ত্রিভুজাকৃতি হবে। তারপর 4 টি, 5 টি, 6 টি, বল রেখে এইভাবে ত্রিভুজ সংখ্যা গঠন করা যায়। এই ত্রিভুজ সংখ্যাগুলোকে অনুক্রম হিসেবে লিখলে হবে $1, 3, 6, 10, 15, \dots$। প্রথম 50 টি ত্রিভুজ সংখ্যার যোগফল কত হবে?",22100
17,"একটি ঘনক আকৃতির বক্সে 20 মি. ব্যাসার্ধ বিশিষ্ট একটি ফুটবল ঠিকঠাক প্যাকেট করা যায়। বক্সে অবশিষ্ট ফাঁকা অংশের আয়তনকে $a^3 (1 - \frac{\pi}{b})$ আকারে প্রকাশ করা যায়, যেখানে $a,b$ ধনাত্মক পূর্ণসংখ্যা। $a + b$ এর মান নির্ণয় কর।",46
18,$1^{14} + 2^{14} +3^{14} + \dots + 2024^{14}$ এর সাথে সর্বনিম্ন কোন ধনাত্মক পূর্ণসংখ্যা যোগ করলে যোগফল 7 দিয়ে নিঃশেষে বিভাজ্য হবে?,6
19,"ছক কাগজের (1,1) বিন্দুতে একটি পিঁপড়া দাঁড়িয়ে আছে। পিঁপড়াটিকে প্রথমে y = 0 সরলরেখাটি একবার ছুঁয়ে, তারপর y = 8 সরলরেখাটি একবার ছুঁয়ে সর্বশেষে (6,5) বিন্দুতে পৌঁছাতে হবে। সম্পূর্ণ গতিপথে সর্বনিম্ন কতটুকু দূরত্ব অতিক্রম করে পিঁপড়াটি গন্তব্যে পৌঁছাতে পারবে?",13
20,"${2024}P{1430}$ সংখ্যাটিকে $k \cdot 11^x$ আকারে লেখা হলো যেখানে $x$ ও $k$ উভয়ে অঋণাত্মক পূর্ণসংখ্যা। $x$ এর মান সর্বোচ্চ কত হওয়া সম্ভব? যেখানে, ${n}P{r} = \frac{n!}{(n - r)!}$",143
21,পায়েল ও প্রত্যয়ের বাসার দূরত্ব 21 কি.মি.। তারা চাইলো তারা একসঙ্গে দেখা করবে। সেজন্য পায়েল তার বাসা থেকে বেরিয়ে পড়ার কিছু সময় পর প্রত্যয়ও তার বাসা থেকে বেরিয়ে পড়লো। পায়েল তাদের বাসার মধ্যবর্তী মোট দূরত্বের $\frac{5}{7}$ অংশ যাবার পর প্রত্যয়ের সঙ্গে দেখা হলো। প্রত্যয় তার বাসা থেকে কত কি.মি. দূরত্ব অতিক্রম করেছে?,6
22,"$ABCD$ একটি বৃত্তস্থ ট্রাপিজিয়াম, যেখানে $AB \parallel CD$, $AB = 4$, $CD = 6$ এবং $AB$ ও $CD$ এর লম্ব দূরত্ব 5। $ABCD$ ট্রাপিজিয়ামের পরিবৃত্তের ব্যাসার্ধ $\sqrt{x}$ হলে, $x$ এর মান কত?",13
23,"3 টি ক্রমিক পূর্ণসংখ্যার যোগফল 216 হলে, সবচেয়ে বড় সংখ্যাটি কত?",73
24,"জ্যোতির কাছে একটি বহুভুজ আছে যার বাহু সংখ্যা 2024। সে বহুভুজটির প্রতিটি শীর্ষ হতে বাকি সকল শীর্ষ পর্যন্ত সরলরেখা আঁকতে চায়, তাকে কতটি সরলরেখা আঁকতে হবে?",2045252
25,"কতগুলো পূর্ণ সংখ্যার সমাধান $(p,q)$ রয়েছে যেন $pq + q^2 + 2024 = (p - q)^2$ হয়?",0
26,"ABCDEF সুষম ষড়ভুজে P, Q, R হলো যথাক্রমে AB, AF, BC এর মধ্যবিন্দু। ষড়ভুজটির ক্ষেত্রফল 4860 বর্গএকক হলে EQPRD পঞ্চভুজটির ক্ষেত্রফল কত?",3645
27,"$f$ ও $g$ দুটি ফাংশন, যেখানে $f(n) = \sqrt[7]{n^3}$, $g(n) = \sqrt[5]{n^2}$ এবং $f_1 = f(n)$, $f_2 = f(f(n))$, $f_3 = f(f(f(n)))$। অনুরূপভাবে, $g_1 = g(n)$, $g_2 = g(g(n))$, $g_3 = g(g(g(n)))$ হলে, 
$g_1(f_1.f_2 \dots f_\infty(25))g_2(f_1.f_2 \dots f_\infty(25)) \dots g_\infty(f_1.f_2 \dots \dots f_\infty(25))$ এর মান নির্ণয় করো।",5
28,"প্রত্যয়ের কাছে একটি ম্যাজিক বক্স আছে যেখানে কিছু পরিমাণ টাকা রাখলে দিন শেষে বাক্স হতে 2 টাকা বেশি ফেরত পাওয়া যায়। সে কোন একদিন বক্সে 2 টাকা রাখলে প্রথম দিন শেষে 4 টাকা, দ্বিতীয় দিন শেষে 6 টাকা, এভাবে 35 দিন শেষে তার মোট টাকা হয় $x$ পরিমাণ। সে সব টাকা বক্সে জমা রাখে। পরের দিন সে $x$ এবং 600 এর ল.সা.গু এর সমপরিমাণ টাকা ফেরত পায়। তার কাছে বর্তমানে মোট কত টাকা আছে?",1800
29,পায়েলের বিয়েতে মরিচবাতি এমনভাবে সাজানো হলো যেন পরপর 2 টি সবুজ বাতির মাঝে ঠিক 3 টি লাল বাতি থাকে। যদি ঐ বিয়ে বাড়িতে মোট 2026 টি বাতি থাকে (লাল ও সবুজ মিলিয়ে) এবং 74তম বাতিটি সবুজ হয় তাহলে সেখানে সর্বোচ্চ কতগুলো সবুজ বাতি থাকবে?,507
30,"0, 1, 2, 7, 8, 9 অংকগুলো মাত্র একবার ব্যবহার করে কতগুলো তিন অংকবিশিষ্ট সংখ্যা তৈরি করা যায়?",100
31,"চার বন্ধু প্রত্যয়, পিয়াল, বিন্দু ও ফুয়াদ বনে ক্যাম্পিং করতে গেলো। এখন তাদের কাছে যে তাবু আছে, সেখানে একবারে একজন ঘুমাতে পারে। অন্ধকার হওয়ার পর সিদ্ধান্ত হলো প্রতি ঘন্টায় যেকোনো একজন ঘুমাবে, বাকি তিনজন পাহারা দেবে, যতক্ষণ অন্ধকার থাকে। হিসাব করে দেখা গেলো, প্রত্যয় 7 ঘন্টা পাহারা দিয়েছে, যা বাকি তিনজনের প্রত্যেকের থেকে বেশি। ফুয়াদ 4 ঘন্টা পাহারা দিয়েছে, যা বাকি তিনজনের প্রত্যেকের থেকে কম। যদি প্রত্যেকের পাহারা দেওয়ার সময় পূর্ণসংখ্যা হয়, তাহলে কতক্ষণ অন্ধকার ছিল?",7
32,"এমন একটি ধনাত্মক পূর্ণসংখ্যা \( n \) বিবেচনা করো যেনো \( n! \) হবে \( 2^{2024} \), \( 3^{2024} \), ও \( 5^{2024} \) দ্বারা নিঃশেষে বিভাজ্য সংখ্যাগুলোর মধ্যে সর্বনিম্ন। \( n \) এর মান নির্ণয় করো। [যেকোনো ধনাত্মক পূর্ণসংখ্যা k এর জন্য, \( k! = 1 \times 2 \times 3 \times 4 \times \dots \times (k - 1) \times k \) ]",8110
33,"$2024 = a^3 \times b \times c $
$b$ ও $c$ দুইটি দুই অংকের ভিন্ন ভিন্ন মৌলিক সংখ্যা। $b$ ও $c$ কে পরিবর্তন করে $2024$ এর মতো নতুন কতটি সংখ্যা পাওয়া সম্ভব যাদেরকে $a^3 \times b \times c$ আকারে প্রকাশ করা যায়? (পরিবর্তিত $b$ ও $c$ উভয়ই দুই অংকের ভিন্ন ভিন্ন মৌলিক সংখ্যা।)",209
34,2024 এর সাথে সর্বনিম্ন কোন ধনাত্মক পূর্ণসংখ্যা যোগ করলে সংখ্যাটি একটি পূর্ণবর্গ সংখ্যা হবে?,1
35,"$0, 1, 3, 5, 7, 9$ অংকগুলো মাত্র একবার ব্যবহার করে কতগুলো চার অংকবিশিষ্ট সংখ্যা তৈরি করা যায়?",300
36,"\( x + y \) এর সর্বোচ্চ মান নির্ণয় করো যেন $x$, $y$ উভয়ই ধনাত্মক পূর্ণসংখ্যা এবং \( 11x + 13y = 738 \) হয়।",66
37,"$\overline{3a5b7c8d}$ সংখ্যা টি 3 দ্বারা নিঃশেষে বিভাজ্য, যেখানে a, b, c, d চারটি ভিন্ন ভিন্ন অঙ্ক। a, b, c, d এর সর্বনিম্ন যোগফল কত?",7
38,"তাহমিদের কাছে তিনটি হজম ক্যান্ডির জার আছে। প্রথম জারে 12 টি হজম ক্যান্ডি, দ্বিতীয় জারে 18 টি হজম ক্যান্ডি এবং তৃতীয় জারে 24 টি হজম ক্যান্ডি রয়েছে। সে তার বন্ধুদের মধ্যে সবগুলো হজম ক্যান্ডি সমানভাবে বিতরণ করতে চায়। তাহলে তাহমিদের সর্বোচ্চ কতজন বন্ধু থাকতে পারে?",54
39,একটি দেয়ালের $x$ মিটার সামনে $y$ মিটার লম্বা একটি লাঠি খাড়াভাবে রাখা আছে। দেয়ালের গোড়া থেকে 5 মিটার উপরে একটি লাইট জ্বালালে মাটিতে লাঠির ছায়ার দৈর্ঘ্য হয় 3 মিটার। লাইটটি আরও 1 মিটার উপরে তুললে লাঠির ছায়ার দৈর্ঘ্য 1 মিটার কমে যায়। $x + y = ?$,5
40,$20232024 + 20242025$ সংখ্যাটিকে 3 দিয়ে ভাগ করলে ভাগশেষ কত হবে?,2
41,"একটি কাঠের কিউবের এক বাহু $n$ একক। তার সবগুলো তলে লাল রঙ করা হলো এবং $n^3$ টি একক কিউব করে কাটা হয়। একক কিউবগুলোর তলের মোট ক্ষেত্রফলের ঠিক এক-অষ্টমাংশ লাল। যদি বড় কিউবের কর্ণের দৈর্ঘ্য $a$ হয়, তাহলে $\sqrt{3} a$ এর মান নির্ণয় করো।",24
42,কোনো এক দেশে 80 মিটারের ছক্কায় 10 রান এবং 100 মিটারের ছক্কায় 12 রান দেওয়া হয়। 48 একটি ওভারের প্রত্যেকটি বল বৈধ হলে ঐ ওভারে 3 ছক্কা মেরে সর্বোচ্চ কত রান নেওয়া যাবে যদি সব রান শুধু চার ও ছয় থেকেই হয়?,48
43,একটি ষড়ভূজের ছয়টি কোণ ক্রমিক পূর্ণ বিজোড়সংখ্যা হলে সর্বোচ্চ কোণের মান কত?,125
44,একটি পরীক্ষায় 12 জন শিক্ষার্থীর প্রাপ্ত নম্বরের গড় 57। একজন শিক্ষার্থীর প্রাপ্ত নম্বরের কিছু সংশোধন হওয়ায় শিক্ষার্থীদের গড় নম্বর 1 কমে গেলো। ঐ শিক্ষার্থীর প্রাপ্ত নম্বর কতটুকু কমেছিলো?,12
45,"জেবার একটা রহস্য সংখ্যা আছে। যখন সে এটিকে 5 দ্বারা গুণ করে এবং তারপর 3 যোগ করে, তখন সে 18 পায়। জেবার রহস্য সংখ্যাটি কত?",3
46,$11+181+ 1881 +18881+\dots$ ধারাটির প্রথম 20 টি পদের যোগফলের বামদিক থেকে প্রথম তিনটি অংকের সমষ্টি কত?,11
47,ছয় অংকবিশিষ্ট সবচেয়ে বড় প্যালিনড্রোম সংখ্যা কোনটি যা 8 দ্বারা বিভাজ্য?,888888
48,"$x$, $y$ দুটি মৌলিক সংখ্যা এবং $x ^ 2 - y ^ 2 = 72$ হলে, $x + y$ এর সর্বনিম্ন মান নির্ণয় কর।",18
49,"ক্লাস ক্যাপ্টেন নির্বাচনে 2 জন প্রার্থী দাঁড়িয়েছে। ঐ ক্লাসরুমে মোট ছাত্র-ছাত্রীর সংখ্যা 60 জন। একজন সর্বনিম্ন কতগুলো ভোট পেলে নিশ্চিত ভাবে বলা যাবে সে নির্বাচনে জয়ী হয়েছে? (ধরি, যারা ক্যাপ্টেন নির্বাচনে দাঁড়িয়েছে, তারা নিজেরা কোনো ভোট দিতে পারবে না)",30
50,"একটি ক্লাসরুমে 7 জন শিক্ষার্থী আছে। তাদের মধ্য থেকে 5 জনের একটি কমিটি তৈরি করা হবে। কিন্তু কমিটি গঠন করার সময় কিছু সমস্যা দেখা দিল। ইমন ও মাজেদ একসাথে কমিটিতে থাকতে চায়না। তিহাম বলল যে শাকুর কে কমিটিতে নেওয়া না হলে, সে ও কমিটিতে থাকবে না। জ্যোতি বলল যে সে তখনই কমিটিতে থাকবে যদি তাহমিদ অথবা নিলয় কে কমিটিতে নেওয়া হয়। কিন্তু তাহমিদ ও নিলয় কে একসাথে নিলে, জ্যোতি কমিটিতে থাকবে না। উপরোক্ত শর্তগুলো মেনে কতভাবে কমিটি গঠন করা সম্ভব?",6
51,"প্যালিনড্রোম সংখ্যা হলো সেসব সংখ্যা যাদের উল্টো করে লিখলেও একই থাকে যেমন 2112 বা 66. তাহলে 1 থেকে 2024 পর্যন্ত কয়টি সংখ্যা আছে যে সংখ্যাগুলোর শেষে ঐ সংখ্যাগুলোর প্রথম অংকটি বসিয়ে তাদেরকে প্যালিনড্রোম সংখ্যা বানানো যায়? (যেমন 133 সংখ্যাটির প্রথম অংক 1 কে 133 এর পরে বসালে 1331 হয়, যা একটি প্যালিনড্রোম সংখ্যা)",389
52,"তাহমিদ, জ্যোতি ও নিলয় একটি মজার কার্ড গেম খেলছে যেখানে A- Jপর্যন্ত নাম লেখা। প্রতিটি নামের কার্ড 4 টি ভিন্ন রঙের করে মোট 40 টি কার্ড রয়েছে। খেলার নিয়মে প্রত্যেকে 2 টি করে কার্ড নিবে এবং 2 টি কার্ড একই নামের হলে সে পয়েন্ট পাবে। প্রথমে তাহমিদ ও নিলয় 2 টি করে কার্ড নিলো এবং দেখলো 4 টি কার্ডই ভিন্ন ভিন্ন। এখন জ্যোতির পয়েন্ট পাওয়ার সম্ভাবনাকে $\frac{m}{n}$ আকারে লেখা যায়, যেখানে $m$ ও $n$ পরস্পর সহমৌলিক সংখ্যা। $m + n$ এর মান কত?",113
53,শাকুর একটি অনুক্রম তৈরি করলো যার $n$-তম পদ হচ্ছে প্রথম $n$ টি স্বাভাবিক সংখ্যার সমষ্টি। শাকুরের অনুক্রমের প্রথম 99 টি পদের সমষ্টি কত?,166650
54,$n!$ বলতে 1 থেকে $n$ পর্যন্ত সকল পূর্ণসংখ্যার গুণফলকে বুঝায়। যেমনঃ $5! = 1 \times 2 \times 3 \times 4 \times 5$. নিলয়ের কাছে $117!$ সংখ্যাটি আছে। তার বন্ধু তাহমিদের কাছে অসীম সংখ্যক 5 আছে। নিলয়কে তাহমিদের কাছ থেকে সর্বনিম্ন কতটি 5 নিয়ে $117!$ এর সাথে গুণ করলে গুণফলটির শেষে সর্বাধিক সংখ্যক 0 থাকে? (সংখ্যাটির ডান প্রান্তে 0 থাকে),85
55,$ \overline{abba} $ কে $ \overline{cc} $ দ্বারা ভাগ করলে ভাগফল $ \overline{aaa} $। এই শর্ত পূরণ করে এমন সম্ভাব্য সকল সংখ্যাগুলোর মধ্যে $a+b+c $ এর সর্বোচ্চ মান কত?,13
56,ইমনের কাছে কিছু টাইলস আছে যাদের দৈর্ঘ্য ও প্রস্থ যথাক্রমে 3 ও 2 একক। সে শুধুমাত্র ঐ টাইলসগুলো ব্যবহার করে একটি বর্গ বানাতে চায়। সে বানাতে পারবে এমন ক্ষুদ্রতম বর্গের ক্ষেত্রফল কত বর্গ একক?,36
57,"দুইটি মৌলিক সংখ্যার যোগফল 25, সংখ্যা দুইটির মধ্যে বৃহত্তম সংখ্যাটির মান কত?",23
58,"নিচের প্যাটার্নটির পরবর্তী সংখ্যাটি বের করো। 50, 49, 46, 41, ......",34
59,"একটি কাঠের কিউব, যার এক বাহু $n$ একক, তার সবগুলো তলে লাল রঙ করা হলো এবং $n^3$ টি একক কিউব করে কাটা হলো। একক কিউবগুলোর তলের মোট ক্ষেত্রফলের ঠিক এক-অষ্টমাংশ লাল। একক কিউবগুলোর কত পাশে নতুন করে লাল রঙ করতে হবে, যেন সেগুলোর মোট পাশের এক-চতুর্থাংশ লাল হয়?",384
60,"একদিন তোমার মনে হল, তুমি খেজুরের রস খেতে চাও। কিন্তু তা খাওয়ার জন্য তোমাকে গ্রামে যেতে হবে। তোমার বাসা হতে গ্রামে আসা-যাওয়ার একমাত্র মাধ্যম হলো বাস। একদিন তুমি বেরিয়ে পড়লে এবং সেখানে 4 গ্লাস রস খেয়ে বাসায় ফিরে এসে দেখলে তোমার 132 টাকা খরচ হল। আরেকদিন তুমি তোমার বন্ধুর সাথে গিয়ে দুইজন মিলে 10 গ্লাস রস খেলে এবং ফিরে এসে দেখলে তোমাদের মোট 294 টাকা খরচ হয়েছে। তোমার বাসা হতে গ্রামে যাওয়ার বাসভাড়া কত?",36
61,"""Dream"" নামে 16 পর্বের একটি মজাদার নন-লিনিয়ার ওয়েব সিরিজ বের হয়েছে যেটি দেখার নিয়ম হলো দ্বিতীয় পর্ব দিয়ে শুরু করে বাকি পর্বগুলো যেকোনো অর্ডার/সিরিয়ালে দেখে শেষ পর্বটি দেখতে হয়। কিন্তু শর্ত হলো মৌলিক সাংখ্যিক পর্বগুলো সব একসাথে দেখতে হবে এবং জোড় সাংখ্যিক পর্বগুলো সব একসাথে দেখতে হবে (2 এর পরে যেকোনো পর্ব দেখা যাবে)। এইভাবে যতভাবে সিরিজটি দেখা সম্ভব সেটিকে $(a!)^3 \times b$ আকারে লেখা গেলে $a + b$ এর সর্বনিম্ন সম্ভাব্য মান কত, যেখানে $a$ ও $b$ পূর্ণসংখ্যা?",154
62,ছয় অংকবিশিষ্ট সবচেয়ে বড় প্যালিনড্রোম সংখ্যা কোনটি যা 6 দ্বারা বিভাজ্য?,897798
63,"শিথিল জুস খুব পছন্দ করে। সে তিনটি গ্লাসে আলাদাভাবে আমের জুস, কমলার জুস এবং লিচুর জুস নিয়ে বসেছে। সে 600 মিলি আমের জুস, 320 মিলি কমলার জুস, 300 মিলি লিচুর জুস নিয়ে একটি মিশ্রণ তৈরি করলো। এখানে মিশ্রণে আমের জুস, কমলার জুস ও লিচুর জুসের অনুপাত 12:7:6 করতে চাইলে কত মিলি অতিরিক্ত কমলার জুস যোগ করতে হবে?",30
64,"তুন্নার কাছে $8n- 1$ টা আপেল ও $5n+ 1$ টা কমলা রয়েছে। সে আপেল ও কমলা সমানভাবে তার কয়েকজন বন্ধুর মাঝে ভাগ করে দিতে চায়, যেন সবার প্রাপ্ত ফলের সংখ্যা পূর্ণসংখ্যা হয়। 100 থেকে ছোট $n$ এর সকল সম্ভাব্য পূর্ণসাংখ্যিক মানের যোগফল নির্ণয় করো।",404
65,জিহান কাগজ ও কলম কিনতে দোকানে গেলো। কাগজের দাম 9 টাকা এবং কলমের দাম 4 টাকা। জিহানের কাছে 97 টাকা থাকলে সে সর্বোচ্চ কতটি কাগজ কিনতে পারবে যেন তার কাছে 12 টাকা বাকি থাকে?,9
66,নিলয় তার ব্যাগে 100 টি পেন্সিল অথবা 120 টি কলম অথবা 150 টি রাবার রাখতে পারে। সে তার ব্যাগে 25 টি পেন্সিল এবং 30 টি কলম রাখার পর সর্বোচ্চ কতটি রাবার রাখতে পারবে?,75
67,"2020 সালের, 21 জুলাই, মঙ্গলবার নিলয়ের জন্মদিন ছিল। পরের নিকটতম কোন বছরে তার জন্মদিন শনিবারে হবে?",2029
68,"\( (2 + 1)(2^2 + 1)(2 ^{2^2} + 1) \dots (2^{2^{10}} + 1) + 1 = 2^n \) হলে, \( n \) এর মান নির্ণয় করো।",2048
69,"চার অংক বিশিষ্ট একটি সংখ্যার প্রথম ও শেষ অংক যথাক্রমে 1,4। মধ্যবর্তী 2 টি অংকের গুণফল একটি দুই অংক বিশিষ্ট জোড় সংখ্যা এবং এদের যোগফল এক অংক বিশিষ্ট বিজোড় সংখ্যা। একই সাথে অংক দুটির গুণফল তাদের যোগফলের দ্বিগুণ। এই চার অংকের কোন অংকই একের অধিক বার বসতে পারে না। বড় সংখ্যাটি নির্ণয় কর।",1634
70,"একটি 8 × 8 দাবা বোর্ডের প্রতিটি ঘরে একটি তীর চিহ্ন রয়েছে যারা বোর্ডের যেকোনো ধার (side) নির্দেশ করে। একটি তীর চিহ্ন যে দিক নির্দেশ করে বোর্ডটি তার বিপরীত দিকে 1 মিটার যায়। এভাবে বোর্ডটি তার আদি অবস্থান থেকে সর্বোচ্চ $a^2\sqrt{b}$ দুরত্ব অতিক্রম করলে, $a + b$ এর সর্বনিম্ন মান নির্ণয় করো।",9
71,তিনটি ভিন্ন ভিন্ন ধনাত্মক পূর্ণসংখ্যার গড় 5। সংখ্যা তিনটির মধ্যে সম্ভাব্য সর্বোচ্চ সংখ্যাটি কত?,12
72,"ইমনের কাছে 5 টি গল্পের বই আছে যাদের গড় পৃষ্ঠা সংখ্যা 485। সে আরো দুইটি বই কিনলো যাদের পৃষ্ঠা সংখ্যা যথাক্রমে 380 ও 665। সে একদিনে সর্বোচ্চ 25 টি পৃষ্ঠা পড়তে পারলে, সবগুলো বই পড়ে শেষ করতে তার সর্বনিম্ন কতদিন সময় লাগবে?",139
73,তিন অংকের কতগুলি সংখ্যা আছে যাদের অংকগুলোর যোগফল 5?,15
74,নিলয় একটি ম্যাগাজিন পড়ছে যেখানে পৃষ্ঠাসংখ্যায় মোট 2049 টি ডিজিট ব্যবহার করা হয়েছে। তাহলে ম্যাগাজিনের পৃষ্ঠাসংখ্যা নির্ণয় কর। (প্রথম পৃষ্ঠার সংখ্যা 1 থেকে শুরু করা হয়েছে),719
75,একটি কাগজে কিছু সরলরেখা আঁকা হলো যাদের কেউই কারোও সমান্তরাল নয় এবং এমন কোনো ছেদবিন্দু নেই যেগুলোতে দুইয়ের অধিক রেখা ছেদ করেছে। সর্বনিম্ন কতটি রেখা আঁকলে নিশ্চিত হওয়া যাবে যে কাগজটি অন্তত 2024 টি ক্ষেত্রে বিভক্ত হয়েছে?,64
76,"দুইটি মৌলিক সংখ্যার যোগফল 55, সংখ্যা দুইটির মধ্যে বৃহত্তম সংখ্যাটির মান নির্ণয় কর।",53
77,"$n \times n$ আকারের গ্রিডে সর্বমোট যতগুলো একক বর্গ আছে, তার সংখ্যা 11 এবং 25 দ্বারা ভাগ করা যায়। $n$ এর সর্বনিম্ন মান নির্ণয় করো।",55
78,"চিংকু একটা মেশিন বানিয়েছে, যেখানে একটা ইংরেজি শব্দ (অর্থপূর্ণ হওয়া জরুরি না) ইনপুট দিলে প্রতিটা অক্ষর ধারাবাহিকভাবে অক্ষরের ক্রমের যেই সংখ্যা নির্দেশ করে সেই সংখ্যাগুলো পাশাপাশি লিখে আউটপুট হিসেবে দেখায়। যেমন, ""abc"" ইনপুট দিলে আউটপুট আসে 123, ইনপুট ""dydx"" হলে আউটপুট হয় 425424। চিংকুর পক্ষে মোট কতগুলো শব্দ ইনপুট দেয়া সম্ভব যেন আউটপুট 21121221 আসে?",34
